userId, passwordScheme, totalLogins, successfulLogins, unsuccessfulLogins, avgSuccessLoginTime, avgFailedLoginTime
ipt134,Image21,5,5,0,18.2,0.0
ast107,Text21,9,5,4,3.6,6.25
ast133,Text21,3,3,0,9.666666666666666,0.0
ast118,Text21,5,5,0,8.4,0.0
ipt119,Image21,6,6,0,12.833333333333334,0.0
ast114,Text21,7,5,2,9.0,9.0
ipt106,Image21,6,5,1,13.8,9.0
ast105,Text21,6,4,2,8.25,8.5
ipt101,Image21,15,6,9,10.166666666666666,26.0
ipt143,Image21,6,5,1,20.6,10.0
ipt105,Image21,7,5,2,13.0,17.5
ast133,Text21,3,3,0,11.333333333333334,0.0
ipt109,Image21,5,5,0,22.4,0.0
ast114,Text21,9,5,4,12.0,10.75
ast118,Text21,5,5,0,7.0,0.0
ipt104,Image21,4,4,0,24.25,0.0
ast107,Text21,6,5,1,4.8,3.0
ast103,Text21,6,6,0,13.833333333333334,0.0
ipt131,Image21,4,4,0,29.0,0.0
ast116,Text21,5,5,0,5.4,0.0
ipt136,Image21,6,5,1,12.8,19.0
ast135,Text21,1,1,0,6.0,0.0
ast112,Text21,5,5,0,6.4,0.0
ipt113,Image21,12,5,7,5.4,7.0
ast131,Text21,11,5,6,13.8,22.0
ast125,Text21,5,5,0,4.2,0.0
ipt110,Image21,8,5,3,13.0,31.333333333333332
ipt133,Image21,5,5,0,16.6,0.0
ast134,Text21,5,5,0,9.4,0.0
ast111,Text21,8,4,4,15.0,6.25
ipt137,Image21,5,5,0,16.2,0.0
ast138,Text21,5,5,0,14.2,0.0
ast115,Text21,5,5,0,8.4,0.0
ast125,Text21,7,5,2,7.0,6.0
ipt145,Image21,6,5,1,24.4,32.0
ipt106,Image21,10,5,5,9.6,9.0
ast136,Text21,5,5,0,8.0,0.0
ipt145,Image21,5,5,0,21.0,0.0
ast108,Text21,7,7,0,4.857142857142857,0.0
ast104,Text21,15,5,10,15.6,13.7
ast136,Text21,5,5,0,11.2,0.0
ipt137,Image21,10,6,4,23.333333333333332,21.0
ipt110,Image21,5,5,0,9.6,0.0
ipt113,Image21,8,5,3,5.2,11.333333333333334
ipt133,Image21,5,5,0,15.8,0.0
ipt136,Image21,7,5,2,10.8,13.5
ast105,Text21,5,4,1,5.75,7.0
ast112,Text21,5,5,0,9.8,0.0
ast135,Text21,2,1,1,8.0,4.0
ipt113,Image21,9,7,2,8.428571428571429,9.0
ast131,Text21,5,5,0,10.0,0.0
ipt136,Image21,5,5,0,10.2,0.0
ast116,Text21,5,5,0,5.8,0.0
ipt104,Image21,4,4,0,22.25,0.0
ast103,Text21,6,5,1,14.2,17.0
ipt145,Image21,5,5,0,22.6,0.0
ast131,Text21,5,5,0,10.4,0.0
ast112,Text21,5,5,0,6.4,0.0
ast135,Text21,1,1,0,5.0,0.0
ast107,Text21,6,5,1,6.6,5.0
ast116,Text21,5,5,0,5.2,0.0
ipt106,Image21,5,5,0,9.4,0.0
ipt119,Image21,5,5,0,8.2,0.0
ast105,Text21,4,4,0,6.25,0.0
ast114,Text21,6,5,1,11.4,7.0
ipt134,Image21,5,5,0,27.2,0.0
ipt110,Image21,6,5,1,11.4,11.0
ast133,Text21,3,3,0,15.666666666666666,0.0
ipt133,Image21,6,5,1,14.8,6.0
ipt137,Image21,5,5,0,15.4,0.0
ast104,Text21,6,6,0,10.166666666666666,0.0
ast118,Text21,6,5,1,5.8,9.0
ipt131,Image21,6,4,2,36.5,53.0
ast108,Text21,6,6,0,3.6666666666666665,0.0
ipt109,Image21,5,5,0,23.6,0.0
ast136,Text21,5,5,0,8.2,0.0
ipt105,Image21,9,5,4,7.2,13.25
ast104,Text21,5,5,0,9.4,0.0
ipt143,Image21,5,5,0,12.2,0.0
ipt101,Image21,8,5,3,11.8,25.0
ipt104,Image21,4,4,0,18.75,0.0
ast134,Text21,5,5,0,6.0,0.0
ast111,Text21,4,4,0,8.0,0.0
ast138,Text21,6,6,0,17.5,0.0
ast108,Text21,6,6,0,2.3333333333333335,0.0
ast115,Text21,5,5,0,10.4,0.0
ipt101,Image21,9,5,4,9.6,17.25
ipt143,Image21,7,5,2,11.6,18.5
ipt105,Image21,6,5,1,6.8,11.0
ipt109,Image21,5,5,0,19.4,0.0
ast125,Text21,6,5,1,6.8,6.0
ast115,Text21,5,5,0,9.8,0.0
ast138,Text21,5,5,0,14.4,0.0
ipt134,Image21,10,5,5,16.8,23.6
ast111,Text21,8,4,4,7.75,10.75
ast134,Text21,5,5,0,6.6,0.0
ipt131,Image21,5,4,1,29.75,29.0
ipt119,Image21,7,5,2,7.4,7.5
ast103,Text21,5,5,0,6.0,0.0
