userId,passwordScheme,totalLogins,successfulLogins,unsuccessfulLogins,avgSuccessLoginTime,avgFailedLoginTime
ast131,Text21,3,3,0,9.666666666666666,0.0
ast111,Text21,11,3,8,5.0,8.5
ast133,Text21,3,3,0,8.666666666666666,0.0
ast112,Text21,3,3,0,5.666666666666667,0.0
ast134,Text21,3,3,0,5.333333333333333,0.0
ast135,Text21,4,3,1,6.333333333333333,4.0
ast103,Text21,3,3,0,8.666666666666666,0.0
ast114,Text21,5,3,2,8.0,7.0
ast125,Text21,4,3,1,5.0,6.0
ast136,Text21,3,3,0,7.0,0.0
ast104,Text21,12,3,9,12.333333333333334,13.666666666666666
ast115,Text21,3,3,0,5.0,0.0
ast105,Text21,4,3,1,5.333333333333333,7.0
ast116,Text21,3,3,0,4.333333333333333,0.0
ast138,Text21,4,4,0,12.25,0.0
ast107,Text21,3,3,0,4.666666666666667,0.0
ast118,Text21,4,3,1,6.0,9.0
ast108,Text21,7,7,0,5.571428571428571,0.0
