userId,passwordScheme,success
ast131,Text21,1
ast131,Text21,1
ast131,Text21,1
ast111,Text21,1
ast111,Text21,1
ast111,Text21,1
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast111,Text21,0
ast133,Text21,1
ast133,Text21,1
ast133,Text21,1
ast112,Text21,1
ast112,Text21,1
ast112,Text21,1
ast134,Text21,1
ast134,Text21,1
ast134,Text21,1
ast135,Text21,1
ast135,Text21,1
ast135,Text21,1
ast135,Text21,0
ast103,Text21,1
ast103,Text21,1
ast103,Text21,1
ast114,Text21,1
ast114,Text21,1
ast114,Text21,1
ast114,Text21,0
ast114,Text21,0
ast125,Text21,1
ast125,Text21,1
ast125,Text21,1
ast125,Text21,0
ast136,Text21,1
ast136,Text21,1
ast136,Text21,1
ast104,Text21,1
ast104,Text21,1
ast104,Text21,1
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast104,Text21,0
ast115,Text21,1
ast115,Text21,1
ast115,Text21,1
ast105,Text21,1
ast105,Text21,1
ast105,Text21,1
ast105,Text21,0
ast116,Text21,1
ast116,Text21,1
ast116,Text21,1
ast138,Text21,1
ast138,Text21,1
ast138,Text21,1
ast138,Text21,1
ast107,Text21,1
ast107,Text21,1
ast107,Text21,1
ast118,Text21,1
ast118,Text21,1
ast118,Text21,1
ast118,Text21,0
ast108,Text21,1
ast108,Text21,1
ast108,Text21,1
ast108,Text21,1
ast108,Text21,1
ast108,Text21,1
ast108,Text21,1
